ICD-10 Code,Description,Matters from an Anaesthesia perspective,"Suggested value on ""surgical"" CC lists",Comment
A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",No,,
A001,"Cholera due to Vibrio cholerae 01, biovar eltor",No,,
A009,"Cholera, unspecified",No,,
A010,Typhoid fever,No,,
A011,Paratyphoid fever A,No,,
A012,Paratyphoid fever B,No,,
A013,Paratyphoid fever C,No,,
A014,"Paratyphoid fever, unspecified",No,,
A020,Salmonella enteritis,No,,
A021,Salmonella sepsis,No,,
A022,Localized salmonella infections,No,,
A028,Other specified salmonella infections,No,,
A029,"Salmonella infection, unspecified",No,,
A030,Shigellosis due to Shigella dysenteriae,No,,
A031,Shigellosis due to Shigella flexneri,No,,
A032,Shigellosis due to Shigella boydii,No,,
A033,Shigellosis due to Shigella sonnei,No,,
A038,Other shigellosis,No,,
A039,"Shigellosis, unspecified",No,,
A040,Enteropathogenic Escherichia coli infection,No,,
A041,Enterotoxigenic Escherichia coli infection,No,,
A042,Enteroinvasive Escherichia coli infection,No,,
A043,Enterohaemorrhagic Escherichia coli infection,No,,
A044,Other intestinal Escherichia coli infections,No,,
A045,Campylobacter enteritis,No,,
A046,Enteritis due to Yersinia enterocolitica,No,,
A047,Enterocolitis due to Clostridium difficile,No,,
A048,Other specified bacterial intestinal infections,No,,
A049,"Bacterial intestinal infection, unspecified",No,,
A050,Foodborne staphylococcal intoxication,No,,
A051,Botulism,No,,
A052,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,No,,
A053,Foodborne Vibrio parahaemolyticus intoxication,No,,
A054,Foodborne Bacillus cereus intoxication,No,,
A058,Other specified bacterial foodborne intoxications,No,,
A059,"Bacterial foodborne intoxication, unspecified",No,,
A060,Acute amoebic dysentery,No,,
A061,Chronic intestinal amoebiasis,No,,
A062,Amoebic nondysenteric colitis,No,,
A063,Amoeboma of intestine,No,,
A064,Amoebic liver abscess,No,,
A065,Amoebic lung abscess,Yes,1,1LV
A066,Amoebic brain abscess,No,,
A067,Cutaneous amoebiasis,No,,
A068,Amoebic infection of other sites,No,,
A069,"Amoebiasis, unspecified",No,,
A070,Balantidiasis,No,,
A071,Giardiasis [lambliasis],No,,
A072,Cryptosporidiosis,No,,
A073,Isosporiasis,No,,
A078,Other specified protozoal intestinal diseases,No,,
A079,"Protozoal intestinal disease, unspecified",No,,
A080,Rotaviral enteritis,No,,
A081,Acute gastroenteropathy due to Norwalk agent,No,,
A082,Adenoviral enteritis,No,,
A083,Other viral enteritis,No,,
A084,"Viral intestinal infection, unspecified",No,,
A085,Other specified intestinal infections,No,,
A090,Other and unspecified gastroenteritis and colitis of infectious origin,No,,
A099,Gastroenteritis and colitis of unspecified origin,No,,
A150,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",Yes,1,AGP precautions
A151,"Tuberculosis of lung, confirmed by culture only",Yes,1,AGP precautions
A152,"Tuberculosis of lung, confirmed histologically",Yes,1,AGP precautions
A153,"Tuberculosis of lung, confirmed by unspecified means",Yes,1,AGP precautions
A154,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",Yes,1,AGP precautions
A155,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",Yes,1,AGP precautions
A156,"Tuberculous pleurisy, confirmed bacteriologically and histologically",Yes,1,AGP precautions
A157,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",Yes,1,AGP precautions
A158,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",Yes,1,AGP precautions
A159,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",Yes,1,AGP precautions
A160,"Tuberculosis of lung, bacteriologically and histologically negative",Yes,1,
A161,"Tuberculosis of lung, bacteriological and histological examination not done",Yes,1,
A162,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",Yes,1,
A163,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",Yes,1,
A164,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",Yes,1,
A165,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",Yes,1,
A167,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,Yes,1,
A168,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",Yes,1,
A169,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",Yes,1,
A170,Tuberculous meningitis,Yes,1,
A171,Meningeal tuberculoma,Yes,1,
A178,Other tuberculosis of nervous system,Yes,1,
A179,"Tuberculosis of nervous system, unspecified",No,,
A180,Tuberculosis of bones and joints,No,,
A181,Tuberculosis of genitourinary system,No,,
A182,Tuberculous peripheral lymphadenopathy,No,,
A183,"Tuberculosis of intestines, peritoneum and mesenteric glands",No,,
A184,Tuberculosis of skin and subcutaneous tissue,No,,
A185,Tuberculosis of eye,No,,
A186,Tuberculosis of ear,No,,
A187,Tuberculosis of adrenal glands,No,,
A188,Tuberculosis of other specified organs,No,,
A190,Acute miliary tuberculosis of a single specified site,Yes,1,
A191,Acute miliary tuberculosis of multiple sites,Yes,1,
A192,"Acute miliary tuberculosis, unspecified",Yes,1,
A198,Other miliary tuberculosis,Yes,1,
A199,"Miliary tuberculosis, unspecified",Yes,1,
A200,Bubonic plague,Yes,2,
A201,Cellulocutaneous plague,Yes,2,
A202,Pneumonic plague,Yes,2,
A203,Plague meningitis,Yes,2,
A207,Septicaemic plague,Yes,2,
A208,Other forms of plague,Yes,2,
A209,"Plague, unspecified",Yes,2,
A210,Ulceroglandular tularaemia,No,,
A211,Oculoglandular tularaemia,No,,
A212,Pulmonary tularaemia,Yes,1,1LV
A213,Gastrointestinal tularaemia,No,,
A217,Generalized tularaemia,Yes,1,
A218,Other forms of tularaemia,No,,
A219,"Tularaemia, unspecified",No,,
A220,Cutaneous anthrax,Yes,2,
A221,Pulmonary anthrax,Yes,2,
A222,Gastrointestinal anthrax,Yes,2,
A227,Anthrax sepsis,Yes,2,
A228,Other forms of anthrax,Yes,2,
A229,"Anthrax, unspecified",Yes,2,
A230,Brucellosis due to Brucella melitensis,Yes,1,1LV
A231,Brucellosis due to Brucella abortus,Yes,1,
A232,Brucellosis due to Brucella suis,Yes,1,
A233,Brucellosis due to Brucella canis,Yes,1,
A238,Other brucellosis,Yes,1,
A239,"Brucellosis, unspecified",Yes,1,
A240,Glanders,Yes,2,1LV
A241,Acute and fulminating melioidosis,Yes,2,
A242,Subacute and chronic melioidosis,Yes,2,
A243,Other melioidosis,Yes,2,
A244,"Melioidosis, unspecified",Yes,2,
A250,Spirillosis,No,,
A251,Streptobacillosis,No,,
A259,"Rat-bite fever, unspecified",No,,
A260,Cutaneous erysipeloid,No,,
A267,Erysipelothrix sepsis,No,,
